2024-07-24 20:35:42.574 | INFO | train_model:114 | Creating dataloaders
2024-07-24 20:35:42.621 | INFO | train_model:135 | Splitting training data into a 80%-20% train/val split
2024-07-24 20:35:42.644 | INFO | train_model:245 | Starting training
2024-07-24 20:35:48.066 | INFO | trainer:191 | Epoch: 0 | Validation loss: 0.00116
2024-07-24 20:36:06.515 | INFO | trainer:191 | Epoch: 0 | Validation loss: 0.000987
2024-07-24 20:36:06.521 | INFO | trainer:175 | Epoch: 0 | Training loss: 0.001
2024-07-24 20:36:07.354 | INFO | trainer:191 | Epoch: 1 | Validation loss: 0.000914
2024-07-24 20:36:07.358 | INFO | trainer:175 | Epoch: 1 | Training loss: 0.000879
2024-07-24 20:36:08.205 | INFO | trainer:191 | Epoch: 2 | Validation loss: 0.000864
2024-07-24 20:36:08.208 | INFO | trainer:175 | Epoch: 2 | Training loss: 0.000822
2024-07-24 20:36:09.000 | INFO | trainer:191 | Epoch: 3 | Validation loss: 0.000825
2024-07-24 20:36:09.005 | INFO | trainer:175 | Epoch: 3 | Training loss: 0.00078
2024-07-24 20:36:09.792 | INFO | trainer:191 | Epoch: 4 | Validation loss: 0.000794
2024-07-24 20:36:09.796 | INFO | trainer:175 | Epoch: 4 | Training loss: 0.000747
2024-07-24 20:36:10.579 | INFO | trainer:191 | Epoch: 5 | Validation loss: 0.000769
2024-07-24 20:36:10.583 | INFO | trainer:175 | Epoch: 5 | Training loss: 0.000721
2024-07-24 20:36:11.380 | INFO | trainer:191 | Epoch: 6 | Validation loss: 0.000749
2024-07-24 20:36:11.384 | INFO | trainer:175 | Epoch: 6 | Training loss: 0.0007
2024-07-24 20:36:12.206 | INFO | trainer:191 | Epoch: 7 | Validation loss: 0.000731
2024-07-24 20:36:12.210 | INFO | trainer:175 | Epoch: 7 | Training loss: 0.000682
2024-07-24 20:36:13.008 | INFO | trainer:191 | Epoch: 8 | Validation loss: 0.000716
2024-07-24 20:36:13.012 | INFO | trainer:175 | Epoch: 8 | Training loss: 0.000667
2024-07-24 20:36:13.793 | INFO | trainer:191 | Epoch: 9 | Validation loss: 0.000703
2024-07-24 20:36:13.797 | INFO | trainer:175 | Epoch: 9 | Training loss: 0.000653
2024-07-24 20:36:14.593 | INFO | trainer:191 | Epoch: 10 | Validation loss: 0.000691
2024-07-24 20:36:14.598 | INFO | trainer:175 | Epoch: 10 | Training loss: 0.00064
2024-07-24 20:36:15.396 | INFO | trainer:191 | Epoch: 11 | Validation loss: 0.000678
2024-07-24 20:36:15.400 | INFO | trainer:175 | Epoch: 11 | Training loss: 0.000629
