2024-07-24 21:19:02.581 | INFO | train_model:116 | Creating dataloaders
2024-07-24 21:19:02.597 | INFO | train_model:141 | Splitting training data into a 80%-20% train/val split
2024-07-24 21:19:02.614 | INFO | train_model:253 | Starting training
2024-07-24 21:19:08.649 | INFO | trainer:189 | Epoch: 0 | Validation loss: 0.000885
2024-07-24 21:19:24.803 | INFO | trainer:189 | Epoch: 0 | Validation loss: 0.000941
2024-07-24 21:19:24.809 | INFO | trainer:173 | Epoch: 0 | Training loss: 0.000814
2024-07-24 21:19:25.180 | INFO | trainer:189 | Epoch: 1 | Validation loss: 0.000889
2024-07-24 21:19:25.184 | INFO | trainer:173 | Epoch: 1 | Training loss: 0.000744
2024-07-24 21:19:25.564 | INFO | trainer:189 | Epoch: 2 | Validation loss: 0.000858
2024-07-24 21:19:25.568 | INFO | trainer:173 | Epoch: 2 | Training loss: 0.000709
2024-07-24 21:19:25.969 | INFO | trainer:189 | Epoch: 3 | Validation loss: 0.000835
2024-07-24 21:19:25.973 | INFO | trainer:173 | Epoch: 3 | Training loss: 0.000687
2024-07-24 21:19:26.348 | INFO | trainer:189 | Epoch: 4 | Validation loss: 0.000819
2024-07-24 21:19:26.352 | INFO | trainer:173 | Epoch: 4 | Training loss: 0.000671
2024-07-24 21:19:26.736 | INFO | trainer:189 | Epoch: 5 | Validation loss: 0.000805
2024-07-24 21:19:26.740 | INFO | trainer:173 | Epoch: 5 | Training loss: 0.000658
2024-07-24 21:19:27.128 | INFO | trainer:189 | Epoch: 6 | Validation loss: 0.000793
2024-07-24 21:19:27.132 | INFO | trainer:173 | Epoch: 6 | Training loss: 0.000647
2024-07-24 21:19:27.514 | INFO | trainer:189 | Epoch: 7 | Validation loss: 0.000782
2024-07-24 21:19:27.519 | INFO | trainer:173 | Epoch: 7 | Training loss: 0.000637
2024-07-24 21:19:27.920 | INFO | trainer:189 | Epoch: 8 | Validation loss: 0.000772
2024-07-24 21:19:27.924 | INFO | trainer:173 | Epoch: 8 | Training loss: 0.000628
2024-07-24 21:19:28.320 | INFO | trainer:189 | Epoch: 9 | Validation loss: 0.000762
2024-07-24 21:19:28.324 | INFO | trainer:173 | Epoch: 9 | Training loss: 0.00062
2024-07-24 21:19:28.727 | INFO | trainer:189 | Epoch: 10 | Validation loss: 0.000753
2024-07-24 21:19:28.731 | INFO | trainer:173 | Epoch: 10 | Training loss: 0.000612
2024-07-24 21:19:29.144 | INFO | trainer:189 | Epoch: 11 | Validation loss: 0.000745
2024-07-24 21:19:29.150 | INFO | trainer:173 | Epoch: 11 | Training loss: 0.000605
2024-07-24 21:19:29.584 | INFO | trainer:189 | Epoch: 12 | Validation loss: 0.000736
2024-07-24 21:19:29.588 | INFO | trainer:173 | Epoch: 12 | Training loss: 0.000597
2024-07-24 21:19:29.989 | INFO | trainer:189 | Epoch: 13 | Validation loss: 0.000728
2024-07-24 21:19:29.993 | INFO | trainer:173 | Epoch: 13 | Training loss: 0.00059
2024-07-24 21:19:30.394 | INFO | trainer:189 | Epoch: 14 | Validation loss: 0.00072
2024-07-24 21:19:30.398 | INFO | trainer:173 | Epoch: 14 | Training loss: 0.000583
2024-07-24 21:19:30.798 | INFO | trainer:189 | Epoch: 15 | Validation loss: 0.000711
2024-07-24 21:19:30.803 | INFO | trainer:173 | Epoch: 15 | Training loss: 0.000576
2024-07-24 21:19:31.206 | INFO | trainer:189 | Epoch: 16 | Validation loss: 0.000703
2024-07-24 21:19:31.210 | INFO | trainer:173 | Epoch: 16 | Training loss: 0.00057
2024-07-24 21:19:31.662 | INFO | trainer:189 | Epoch: 17 | Validation loss: 0.000696
2024-07-24 21:19:31.667 | INFO | trainer:173 | Epoch: 17 | Training loss: 0.000564
2024-07-24 21:19:32.092 | INFO | trainer:189 | Epoch: 18 | Validation loss: 0.00069
2024-07-24 21:19:32.096 | INFO | trainer:173 | Epoch: 18 | Training loss: 0.000557
2024-07-24 21:19:32.481 | INFO | trainer:189 | Epoch: 19 | Validation loss: 0.000682
2024-07-24 21:19:32.485 | INFO | trainer:173 | Epoch: 19 | Training loss: 0.000552
2024-07-24 21:19:32.881 | INFO | trainer:189 | Epoch: 20 | Validation loss: 0.000678
2024-07-24 21:19:32.885 | INFO | trainer:173 | Epoch: 20 | Training loss: 0.000546
2024-07-24 21:19:33.248 | INFO | trainer:189 | Epoch: 21 | Validation loss: 0.000671
2024-07-24 21:19:33.252 | INFO | trainer:173 | Epoch: 21 | Training loss: 0.000541
2024-07-24 21:19:33.639 | INFO | trainer:189 | Epoch: 22 | Validation loss: 0.000665
2024-07-24 21:19:33.643 | INFO | trainer:173 | Epoch: 22 | Training loss: 0.000535
2024-07-24 21:19:34.013 | INFO | trainer:189 | Epoch: 23 | Validation loss: 0.000663
2024-07-24 21:19:34.017 | INFO | trainer:173 | Epoch: 23 | Training loss: 0.000531
2024-07-24 21:19:34.381 | INFO | trainer:189 | Epoch: 24 | Validation loss: 0.000656
2024-07-24 21:19:34.385 | INFO | trainer:173 | Epoch: 24 | Training loss: 0.000527
2024-07-24 21:19:34.768 | INFO | trainer:189 | Epoch: 25 | Validation loss: 0.00065
2024-07-24 21:19:34.773 | INFO | trainer:173 | Epoch: 25 | Training loss: 0.000522
2024-07-24 21:19:35.154 | INFO | trainer:189 | Epoch: 26 | Validation loss: 0.000643
2024-07-24 21:19:35.158 | INFO | trainer:173 | Epoch: 26 | Training loss: 0.000517
2024-07-24 21:19:35.557 | INFO | trainer:189 | Epoch: 27 | Validation loss: 0.00064
2024-07-24 21:19:35.562 | INFO | trainer:173 | Epoch: 27 | Training loss: 0.000512
2024-07-24 21:19:35.937 | INFO | trainer:189 | Epoch: 28 | Validation loss: 0.000634
2024-07-24 21:19:35.941 | INFO | trainer:173 | Epoch: 28 | Training loss: 0.000509
2024-07-24 21:19:36.324 | INFO | trainer:189 | Epoch: 29 | Validation loss: 0.000629
2024-07-24 21:19:36.328 | INFO | trainer:173 | Epoch: 29 | Training loss: 0.000504
2024-07-24 21:19:36.725 | INFO | trainer:189 | Epoch: 30 | Validation loss: 0.000629
2024-07-24 21:19:36.729 | INFO | trainer:173 | Epoch: 30 | Training loss: 0.000501
2024-07-24 21:19:37.117 | INFO | trainer:189 | Epoch: 31 | Validation loss: 0.000625
2024-07-24 21:19:37.121 | INFO | trainer:173 | Epoch: 31 | Training loss: 0.000497
2024-07-24 21:19:37.521 | INFO | trainer:189 | Epoch: 32 | Validation loss: 0.000617
2024-07-24 21:19:37.525 | INFO | trainer:173 | Epoch: 32 | Training loss: 0.000493
2024-07-24 21:19:37.896 | INFO | trainer:189 | Epoch: 33 | Validation loss: 0.000615
2024-07-24 21:19:37.901 | INFO | trainer:173 | Epoch: 33 | Training loss: 0.00049
2024-07-24 21:19:38.283 | INFO | trainer:189 | Epoch: 34 | Validation loss: 0.000609
2024-07-24 21:19:38.287 | INFO | trainer:173 | Epoch: 34 | Training loss: 0.000487
2024-07-24 21:19:38.677 | INFO | trainer:189 | Epoch: 35 | Validation loss: 0.000606
2024-07-24 21:19:38.681 | INFO | trainer:173 | Epoch: 35 | Training loss: 0.000483
2024-07-24 21:19:39.072 | INFO | trainer:189 | Epoch: 36 | Validation loss: 0.000603
2024-07-24 21:19:39.076 | INFO | trainer:173 | Epoch: 36 | Training loss: 0.000482
2024-07-24 21:19:39.471 | INFO | trainer:189 | Epoch: 37 | Validation loss: 0.000599
2024-07-24 21:19:39.475 | INFO | trainer:173 | Epoch: 37 | Training loss: 0.000477
2024-07-24 21:19:39.862 | INFO | trainer:189 | Epoch: 38 | Validation loss: 0.000602
2024-07-24 21:19:39.868 | INFO | trainer:173 | Epoch: 38 | Training loss: 0.000473
2024-07-24 21:19:40.263 | INFO | trainer:189 | Epoch: 39 | Validation loss: 0.000595
2024-07-24 21:19:40.267 | INFO | trainer:173 | Epoch: 39 | Training loss: 0.000471
2024-07-24 21:19:40.692 | INFO | trainer:189 | Epoch: 40 | Validation loss: 0.000591
2024-07-24 21:19:40.697 | INFO | trainer:173 | Epoch: 40 | Training loss: 0.000469
2024-07-24 21:19:41.061 | INFO | trainer:189 | Epoch: 41 | Validation loss: 0.000588
2024-07-24 21:19:41.065 | INFO | trainer:173 | Epoch: 41 | Training loss: 0.000466
2024-07-24 21:19:41.464 | INFO | trainer:189 | Epoch: 42 | Validation loss: 0.000592
2024-07-24 21:19:41.468 | INFO | trainer:173 | Epoch: 42 | Training loss: 0.000464
2024-07-24 21:19:41.846 | INFO | trainer:189 | Epoch: 43 | Validation loss: 0.000584
2024-07-24 21:19:41.850 | INFO | trainer:173 | Epoch: 43 | Training loss: 0.000462
2024-07-24 21:19:42.225 | INFO | trainer:189 | Epoch: 44 | Validation loss: 0.00058
2024-07-24 21:19:42.229 | INFO | trainer:173 | Epoch: 44 | Training loss: 0.00046
2024-07-24 21:19:42.605 | INFO | trainer:189 | Epoch: 45 | Validation loss: 0.00058
2024-07-24 21:19:42.609 | INFO | trainer:173 | Epoch: 45 | Training loss: 0.000457
2024-07-24 21:19:42.992 | INFO | trainer:189 | Epoch: 46 | Validation loss: 0.000577
2024-07-24 21:19:42.997 | INFO | trainer:173 | Epoch: 46 | Training loss: 0.000455
2024-07-24 21:19:43.378 | INFO | trainer:189 | Epoch: 47 | Validation loss: 0.000578
2024-07-24 21:19:43.383 | INFO | trainer:173 | Epoch: 47 | Training loss: 0.000453
2024-07-24 21:19:43.730 | INFO | trainer:189 | Epoch: 48 | Validation loss: 0.000574
2024-07-24 21:19:43.734 | INFO | trainer:173 | Epoch: 48 | Training loss: 0.000451
2024-07-24 21:19:44.100 | INFO | trainer:189 | Epoch: 49 | Validation loss: 0.00057
2024-07-24 21:19:44.104 | INFO | trainer:173 | Epoch: 49 | Training loss: 0.000449
2024-07-24 21:19:44.472 | INFO | trainer:189 | Epoch: 50 | Validation loss: 0.000569
2024-07-24 21:19:44.476 | INFO | trainer:173 | Epoch: 50 | Training loss: 0.000447
2024-07-24 21:19:44.852 | INFO | trainer:189 | Epoch: 51 | Validation loss: 0.000567
2024-07-24 21:19:44.856 | INFO | trainer:173 | Epoch: 51 | Training loss: 0.000445
2024-07-24 21:19:45.236 | INFO | trainer:189 | Epoch: 52 | Validation loss: 0.000565
