2024-03-18 14:33:12.306 | INFO | train_model:125 | Creating dataloaders
2024-03-18 14:33:12.309 | INFO | train_model:151 | Splitting training data into a 90%-10% train/val split
2024-03-18 14:33:12.460 | INFO | train_model:279 | Starting training
2024-03-18 14:33:12.600 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00565
2024-03-18 14:33:13.702 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00387
2024-03-18 14:33:13.707 | INFO | trainer:203 | Epoch: 0 | Training loss: 0.00431
2024-03-18 14:33:15.019 | INFO | trainer:219 | Epoch: 1 | Validation loss: 0.00358
2024-03-18 14:33:15.022 | INFO | trainer:203 | Epoch: 1 | Training loss: 0.00364
2024-03-18 14:33:16.194 | INFO | trainer:219 | Epoch: 2 | Validation loss: 0.0033
2024-03-18 14:33:16.200 | INFO | trainer:203 | Epoch: 2 | Training loss: 0.00348
2024-03-18 14:33:17.375 | INFO | trainer:219 | Epoch: 3 | Validation loss: 0.0033
2024-03-18 14:33:17.378 | INFO | trainer:203 | Epoch: 3 | Training loss: 0.00336
2024-03-18 14:33:18.560 | INFO | trainer:219 | Epoch: 4 | Validation loss: 0.0033
2024-03-18 14:33:18.567 | INFO | trainer:203 | Epoch: 4 | Training loss: 0.00334
2024-03-18 14:33:19.676 | INFO | trainer:219 | Epoch: 5 | Validation loss: 0.00321
2024-03-18 14:33:19.679 | INFO | trainer:203 | Epoch: 5 | Training loss: 0.00326
2024-03-18 14:33:20.991 | INFO | trainer:219 | Epoch: 6 | Validation loss: 0.00314
2024-03-18 14:33:20.994 | INFO | trainer:203 | Epoch: 6 | Training loss: 0.00328
2024-03-18 14:33:22.247 | INFO | trainer:219 | Epoch: 7 | Validation loss: 0.00322
2024-03-18 14:33:22.253 | INFO | trainer:203 | Epoch: 7 | Training loss: 0.00324
2024-03-18 14:33:23.372 | INFO | trainer:219 | Epoch: 8 | Validation loss: 0.00313
2024-03-18 14:33:23.375 | INFO | trainer:203 | Epoch: 8 | Training loss: 0.00316
2024-03-18 14:33:24.666 | INFO | trainer:219 | Epoch: 9 | Validation loss: 0.00316
2024-03-18 14:33:24.670 | INFO | trainer:203 | Epoch: 9 | Training loss: 0.00313
2024-03-18 14:33:26.004 | INFO | trainer:219 | Epoch: 10 | Validation loss: 0.00336
2024-03-18 14:33:26.007 | INFO | trainer:203 | Epoch: 10 | Training loss: 0.00312
2024-03-18 14:33:27.135 | INFO | trainer:219 | Epoch: 11 | Validation loss: 0.00331
2024-03-18 14:33:27.139 | INFO | trainer:203 | Epoch: 11 | Training loss: 0.00313
2024-03-18 14:33:28.027 | INFO | trainer:219 | Epoch: 12 | Validation loss: 0.00307
2024-03-18 14:33:28.031 | INFO | trainer:203 | Epoch: 12 | Training loss: 0.00305
2024-03-18 14:33:28.981 | INFO | trainer:219 | Epoch: 13 | Validation loss: 0.0032
2024-03-18 14:33:28.985 | INFO | trainer:203 | Epoch: 13 | Training loss: 0.00309
2024-03-18 14:33:29.874 | INFO | trainer:219 | Epoch: 14 | Validation loss: 0.0031
2024-03-18 14:33:29.877 | INFO | trainer:203 | Epoch: 14 | Training loss: 0.00305
2024-03-18 14:33:30.857 | INFO | trainer:219 | Epoch: 15 | Validation loss: 0.00319
2024-03-18 14:33:30.861 | INFO | trainer:203 | Epoch: 15 | Training loss: 0.00301
2024-03-18 14:33:31.799 | INFO | trainer:219 | Epoch: 16 | Validation loss: 0.0031
2024-03-18 14:33:31.803 | INFO | trainer:203 | Epoch: 16 | Training loss: 0.00301
2024-03-18 14:33:32.921 | INFO | trainer:219 | Epoch: 17 | Validation loss: 0.00304
2024-03-18 14:33:32.925 | INFO | trainer:203 | Epoch: 17 | Training loss: 0.00299
2024-03-18 14:33:33.944 | INFO | trainer:219 | Epoch: 18 | Validation loss: 0.00307
2024-03-18 14:33:33.947 | INFO | trainer:203 | Epoch: 18 | Training loss: 0.00299
2024-03-18 14:33:35.014 | INFO | trainer:219 | Epoch: 19 | Validation loss: 0.00299
2024-03-18 14:33:35.017 | INFO | trainer:203 | Epoch: 19 | Training loss: 0.00295
2024-03-18 14:33:36.039 | INFO | trainer:219 | Epoch: 20 | Validation loss: 0.00315
2024-03-18 14:33:36.043 | INFO | trainer:203 | Epoch: 20 | Training loss: 0.00302
2024-03-18 14:33:37.158 | INFO | trainer:219 | Epoch: 21 | Validation loss: 0.00355
2024-03-18 14:33:37.162 | INFO | trainer:203 | Epoch: 21 | Training loss: 0.00294
2024-03-18 14:33:38.217 | INFO | trainer:219 | Epoch: 22 | Validation loss: 0.003
2024-03-18 14:33:38.221 | INFO | trainer:203 | Epoch: 22 | Training loss: 0.00298
2024-03-18 14:33:39.322 | INFO | trainer:219 | Epoch: 23 | Validation loss: 0.00351
2024-03-18 14:33:39.326 | INFO | trainer:203 | Epoch: 23 | Training loss: 0.00296
2024-03-18 14:33:40.354 | INFO | trainer:219 | Epoch: 24 | Validation loss: 0.00295
2024-03-18 14:33:40.358 | INFO | trainer:203 | Epoch: 24 | Training loss: 0.00297
