2024-03-18 20:20:04.370 | INFO | train_model:125 | Creating dataloaders
2024-03-18 20:20:04.371 | INFO | train_model:151 | Splitting training data into a 80%-20% train/val split
2024-03-18 20:20:04.471 | INFO | train_model:279 | Starting pre_training
2024-03-18 20:20:04.606 | INFO | trainer:219 | Epoch: 0 | Validation loss: 7.63e-05
2024-03-18 20:20:04.912 | INFO | trainer:219 | Epoch: 0 | Validation loss: 6.99e-05
2024-03-18 20:20:04.917 | INFO | trainer:203 | Epoch: 0 | Training loss: 5.33e-05
2024-03-18 20:20:05.572 | INFO | trainer:219 | Epoch: 1 | Validation loss: 6.03e-05
2024-03-18 20:20:05.576 | INFO | trainer:203 | Epoch: 1 | Training loss: 4.28e-05
2024-03-18 20:20:05.996 | INFO | trainer:219 | Epoch: 2 | Validation loss: 5.45e-05
2024-03-18 20:20:06.004 | INFO | trainer:203 | Epoch: 2 | Training loss: 3.89e-05
2024-03-18 20:20:06.526 | INFO | trainer:219 | Epoch: 3 | Validation loss: 4.86e-05
2024-03-18 20:20:06.530 | INFO | trainer:203 | Epoch: 3 | Training loss: 3.54e-05
2024-03-18 20:20:06.927 | INFO | trainer:219 | Epoch: 4 | Validation loss: 4.41e-05
2024-03-18 20:20:06.934 | INFO | trainer:203 | Epoch: 4 | Training loss: 3.21e-05
2024-03-18 20:20:07.468 | INFO | trainer:219 | Epoch: 5 | Validation loss: 4.08e-05
2024-03-18 20:20:07.472 | INFO | trainer:203 | Epoch: 5 | Training loss: 2.96e-05
2024-03-18 20:20:07.907 | INFO | trainer:219 | Epoch: 6 | Validation loss: 3.85e-05
2024-03-18 20:20:07.911 | INFO | trainer:203 | Epoch: 6 | Training loss: 2.76e-05
2024-03-18 20:20:08.442 | INFO | trainer:219 | Epoch: 7 | Validation loss: 3.66e-05
2024-03-18 20:20:08.446 | INFO | trainer:203 | Epoch: 7 | Training loss: 2.61e-05
2024-03-18 20:20:08.857 | INFO | trainer:219 | Epoch: 8 | Validation loss: 3.49e-05
2024-03-18 20:20:08.861 | INFO | trainer:203 | Epoch: 8 | Training loss: 2.49e-05
2024-03-18 20:20:09.377 | INFO | trainer:219 | Epoch: 9 | Validation loss: 3.36e-05
2024-03-18 20:20:09.381 | INFO | trainer:203 | Epoch: 9 | Training loss: 2.39e-05
2024-03-18 20:20:09.565 | INFO | train_model:279 | Starting training
2024-03-18 20:20:09.689 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.0127
2024-03-18 20:20:10.019 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00658
2024-03-18 20:20:10.024 | INFO | trainer:203 | Epoch: 0 | Training loss: 0.00572
2024-03-18 20:20:10.279 | INFO | trainer:219 | Epoch: 1 | Validation loss: 0.00808
2024-03-18 20:20:10.283 | INFO | trainer:203 | Epoch: 1 | Training loss: 0.00401
2024-03-18 20:20:10.542 | INFO | trainer:219 | Epoch: 2 | Validation loss: 0.00754
2024-03-18 20:20:10.547 | INFO | trainer:203 | Epoch: 2 | Training loss: 0.00427
2024-03-18 20:20:10.766 | INFO | trainer:219 | Epoch: 3 | Validation loss: 0.00648
2024-03-18 20:20:10.770 | INFO | trainer:203 | Epoch: 3 | Training loss: 0.00378
2024-03-18 20:20:11.006 | INFO | trainer:219 | Epoch: 4 | Validation loss: 0.00634
2024-03-18 20:20:11.010 | INFO | trainer:203 | Epoch: 4 | Training loss: 0.00384
2024-03-18 20:20:11.275 | INFO | trainer:219 | Epoch: 5 | Validation loss: 0.0063
2024-03-18 20:20:11.284 | INFO | trainer:203 | Epoch: 5 | Training loss: 0.00381
2024-03-18 20:20:11.676 | INFO | trainer:219 | Epoch: 6 | Validation loss: 0.0064
2024-03-18 20:20:11.681 | INFO | trainer:203 | Epoch: 6 | Training loss: 0.0037
2024-03-18 20:20:11.915 | INFO | trainer:219 | Epoch: 7 | Validation loss: 0.00647
2024-03-18 20:20:11.919 | INFO | trainer:203 | Epoch: 7 | Training loss: 0.00369
2024-03-18 20:20:12.152 | INFO | trainer:219 | Epoch: 8 | Validation loss: 0.00638
2024-03-18 20:20:12.156 | INFO | trainer:203 | Epoch: 8 | Training loss: 0.00379
2024-03-18 20:20:12.440 | INFO | trainer:219 | Epoch: 9 | Validation loss: 0.0063
2024-03-18 20:20:12.448 | INFO | trainer:203 | Epoch: 9 | Training loss: 0.0037
2024-03-18 20:20:12.803 | INFO | trainer:219 | Epoch: 10 | Validation loss: 0.00625
2024-03-18 20:20:12.807 | INFO | trainer:203 | Epoch: 10 | Training loss: 0.00368
2024-03-18 20:20:13.045 | INFO | trainer:219 | Epoch: 11 | Validation loss: 0.00625
2024-03-18 20:20:13.049 | INFO | trainer:203 | Epoch: 11 | Training loss: 0.00374
2024-03-18 20:20:13.350 | INFO | trainer:219 | Epoch: 12 | Validation loss: 0.00627
2024-03-18 20:20:13.358 | INFO | trainer:203 | Epoch: 12 | Training loss: 0.00367
2024-03-18 20:20:13.712 | INFO | trainer:219 | Epoch: 13 | Validation loss: 0.00634
2024-03-18 20:20:13.720 | INFO | trainer:203 | Epoch: 13 | Training loss: 0.00362
2024-03-18 20:20:13.953 | INFO | trainer:219 | Epoch: 14 | Validation loss: 0.00632
